用户ID,游戏,行为,游戏时间
151603712,游戏4367,purchase,1
151603712,游戏4367,play,273
151603712,游戏1648,purchase,1
151603712,游戏1648,play,87
151603712,游戏4014,purchase,1
151603712,游戏4014,play,14.9
151603712,游戏1649,purchase,1
151603712,游戏1649,play,12.1
151603712,游戏2474,purchase,1
151603712,游戏2474,play,8.9
151603712,游戏2204,purchase,1
151603712,游戏2204,play,8.5
151603712,游戏3123,purchase,1
151603712,游戏3123,play,8.1
151603712,游戏3229,purchase,1
151603712,游戏3229,play,7.5
151603712,游戏2473,purchase,1
151603712,游戏2473,play,3.3
151603712,游戏4255,purchase,1
151603712,游戏4255,play,2.8
151603712,游戏4671,purchase,1
151603712,游戏4671,play,2.5
151603712,游戏4308,purchase,1
151603712,游戏4308,play,2
151603712,游戏1130,purchase,1
151603712,游戏1130,play,1.4
151603712,游戏515,purchase,1
151603712,游戏515,play,1.3
151603712,游戏1356,purchase,1
151603712,游戏1356,play,1.3
151603712,游戏1644,purchase,1
151603712,游戏1644,play,0.8
151603712,游戏3744,purchase,1
151603712,游戏3744,play,0.8
151603712,游戏1972,purchase,1
151603712,游戏1972,play,0.6
151603712,游戏3420,purchase,1
151603712,游戏3420,play,0.5
151603712,游戏2656,purchase,1
151603712,游戏2656,play,0.5
151603712,游戏1471,purchase,1
151603712,游戏1471,play,0.5
151603712,游戏1333,purchase,1
151603712,游戏1333,play,0.5
151603712,游戏513,purchase,1
151603712,游戏513,play,0.5
151603712,游戏3553,purchase,1
151603712,游戏3553,play,0.4
151603712,游戏1887,purchase,1
151603712,游戏1887,play,0.1
151603712,游戏2344,purchase,1
151603712,游戏2344,play,0.1
151603712,游戏199,purchase,1
151603712,游戏514,purchase,1
151603712,游戏1632,purchase,1
151603712,游戏1650,purchase,1
151603712,游戏1651,purchase,1
151603712,游戏1652,purchase,1
151603712,游戏1970,purchase,1
151603712,游戏2170,purchase,1
151603712,游戏2205,purchase,1
151603712,游戏2206,purchase,1
151603712,游戏4309,purchase,1
151603712,游戏4368,purchase,1
151603712,游戏4369,purchase,1
151603712,游戏4370,purchase,1
187131847,游戏1333,purchase,1
187131847,游戏1333,play,2.3
59945701,游戏4793,purchase,1
59945701,游戏4793,play,238
59945701,游戏1710,purchase,1
59945701,游戏1710,play,84
59945701,游戏4367,purchase,1
59945701,游戏4367,play,58
59945701,游戏3832,purchase,1
59945701,游戏3832,play,22
59945701,游戏2451,purchase,1
59945701,游戏2451,play,13.8
59945701,游戏923,purchase,1
59945701,游戏923,play,10.2
59945701,游戏39,purchase,1
59945701,游戏39,play,7.8
59945701,游戏1291,purchase,1
59945701,游戏1291,play,7
59945701,游戏1706,purchase,1
59945701,游戏1706,play,5.2
59945701,游戏3048,purchase,1
59945701,游戏3048,play,4.8
59945701,游戏2391,purchase,1
59945701,游戏2391,play,3.4
59945701,游戏916,purchase,1
59945701,游戏916,play,3.2
59945701,游戏436,purchase,1
59945701,游戏436,play,2.8
59945701,游戏4803,purchase,1
59945701,游戏4803,play,2.6
59945701,游戏971,purchase,1
59945701,游戏971,play,2.3
59945701,游戏3047,purchase,1
59945701,游戏3047,play,0.7
59945701,游戏4418,purchase,1
59945701,游戏4418,play,0.6
59945701,游戏2033,purchase,1
59945701,游戏2033,play,0.5
59945701,游戏3874,purchase,1
59945701,游戏3874,play,0.4
59945701,游戏354,purchase,1
59945701,游戏354,play,0.3
59945701,游戏922,purchase,1
59945701,游戏922,play,0.1
59945701,游戏4255,purchase,1
59945701,游戏4255,play,0.1
59945701,游戏2031,purchase,1
59945701,游戏2474,purchase,1
59945701,游戏3317,purchase,1
59945701,游戏840,purchase,1
59945701,游戏917,purchase,1
59945701,游戏918,purchase,1
59945701,游戏1649,purchase,1
59945701,游戏1650,purchase,1
59945701,游戏1651,purchase,1
59945701,游戏1652,purchase,1
59945701,游戏1887,purchase,1
59945701,游戏2395,purchase,1
59945701,游戏2610,purchase,1
59945701,游戏2618,purchase,1
59945701,游戏2901,purchase,1
59945701,游戏3318,purchase,1
59945701,游戏3697,purchase,1
59945701,游戏3698,purchase,1
59945701,游戏3752,purchase,1
59945701,游戏3875,purchase,1
59945701,游戏3881,purchase,1
53875128,游戏1974,purchase,1
53875128,游戏1974,play,86
53875128,游戏2289,purchase,1
53875128,游戏2289,play,72
53875128,游戏2474,purchase,1
53875128,游戏2474,play,71
53875128,游戏2714,purchase,1
53875128,游戏2714,play,59
53875128,游戏3649,purchase,1
53875128,游戏3649,play,54
53875128,游戏3647,purchase,1
53875128,游戏3647,play,50
53875128,游戏3662,purchase,1
53875128,游戏3662,play,35
53875128,游戏1661,purchase,1
53875128,游戏1661,play,35
53875128,游戏3648,purchase,1
53875128,游戏3648,play,35
53875128,游戏3561,purchase,1
53875128,游戏3561,play,34
53875128,游戏354,purchase,1
53875128,游戏354,play,33
53875128,游戏1663,purchase,1
53875128,游戏1663,play,32
53875128,游戏3312,purchase,1
53875128,游戏3312,play,25
53875128,游戏3965,purchase,1
53875128,游戏3965,play,24
53875128,游戏1435,purchase,1
53875128,游戏1435,play,23
53875128,游戏2363,purchase,1
53875128,游戏2363,play,23
53875128,游戏2759,purchase,1
53875128,游戏2759,play,23
53875128,游戏2594,purchase,1
53875128,游戏2594,play,22
53875128,游戏3239,purchase,1
53875128,游戏3239,play,21
53875128,游戏1240,purchase,1
53875128,游戏1240,play,21
53875128,游戏2733,purchase,1
53875128,游戏2733,play,19.6
53875128,游戏3634,purchase,1
53875128,游戏3634,play,18.5
53875128,游戏1241,purchase,1
53875128,游戏1241,play,18.3
53875128,游戏443,purchase,1
53875128,游戏443,play,16.9
53875128,游戏4751,purchase,1
53875128,游戏4751,play,14.3
53875128,游戏793,purchase,1
53875128,游戏793,play,13.7
53875128,游戏1429,purchase,1
53875128,游戏1429,play,13.4
53875128,游戏1596,purchase,1
53875128,游戏1596,play,12.5
53875128,游戏3950,purchase,1
53875128,游戏3950,play,12.2
53875128,游戏3889,purchase,1
53875128,游戏3889,play,11.5
53875128,游戏4966,purchase,1
53875128,游戏4966,play,11.2
53875128,游戏3660,purchase,1
53875128,游戏3660,play,11.1
53875128,游戏1121,purchase,1
53875128,游戏1121,play,11
53875128,游戏2072,purchase,1
53875128,游戏2072,play,10.2
53875128,游戏3430,purchase,1
53875128,游戏3430,play,10.1
53875128,游戏3827,purchase,1
53875128,游戏3827,play,9.8
53875128,游戏4504,purchase,1
53875128,游戏4504,play,9.8
53875128,游戏1269,purchase,1
53875128,游戏1269,play,9.7
53875128,游戏1838,purchase,1
53875128,游戏1838,play,9.7
53875128,游戏436,purchase,1
53875128,游戏436,play,9.6
53875128,游戏163,purchase,1
53875128,游戏163,play,9
53875128,游戏441,purchase,1
53875128,游戏441,play,8.9
53875128,游戏2045,purchase,1
53875128,游戏2045,play,8.6
53875128,游戏3432,purchase,1
53875128,游戏3432,play,8.4
53875128,游戏3435,purchase,1
53875128,游戏3435,play,8.3
53875128,游戏2723,purchase,1
53875128,游戏2723,play,7.8
53875128,游戏2773,purchase,1
53875128,游戏2773,play,7.6
53875128,游戏1649,purchase,1
53875128,游戏1649,play,7.5
53875128,游戏3077,purchase,1
53875128,游戏3077,play,7.3
53875128,游戏355,purchase,1
53875128,游戏355,play,7.2
53875128,游戏3053,purchase,1
53875128,游戏3053,play,7
53875128,游戏1662,purchase,1
53875128,游戏1662,play,6.7
53875128,游戏687,purchase,1
53875128,游戏687,play,6.6
53875128,游戏3313,purchase,1
53875128,游戏3313,play,6.4
53875128,游戏1865,purchase,1
53875128,游戏1865,play,6.4
53875128,游戏3906,purchase,1
53875128,游戏3906,play,6.2
53875128,游戏1979,purchase,1
53875128,游戏1979,play,6
53875128,游戏3832,purchase,1
53875128,游戏3832,play,5.9
53875128,游戏3568,purchase,1
53875128,游戏3568,play,5.7
53875128,游戏3204,purchase,1
53875128,游戏3204,play,5.6
53875128,游戏1819,purchase,1
53875128,游戏1819,play,5.6
53875128,游戏2946,purchase,1
53875128,游戏2946,play,5.5
53875128,游戏3547,purchase,1
53875128,游戏3547,play,5.5
53875128,游戏2075,purchase,1
53875128,游戏2075,play,5.5
53875128,游戏3534,purchase,1
53875128,游戏3534,play,5.2
53875128,游戏2951,purchase,1
53875128,游戏2951,play,4.9
53875128,游戏3985,purchase,1
